title,start,end,overlap,url,className
Schnupperstudium2020,2020-10-19T07:00:00,2020-10-19T21:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=7333&cHash=182c14527a3a70b4ff575a92512f0e17,event-type-1event-kind-7event-kind-8
Schnupperstudium2020,2020-10-20T07:00:00,2020-10-20T21:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=7333&cHash=182c14527a3a70b4ff575a92512f0e17,event-type-1event-kind-7event-kind-8
TK-OffeneSprechstunde,2020-10-20T10:00:00,2020-10-20T14:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10303&cHash=a67cd9b1661a7c2851158fbdf23ee95e,event-type-2event-type-5event-kind-2
OpenCoworkingimGewerbehof(YES,weareopen),2020-10-20T10:00:00,2020-10-20T16:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10094&cHash=8774388a79085718cf6b28e2045c010a,event-type-2event-type-3event-type-6event-kind-8
Schnupperstudium2020,2020-10-21T07:00:00,2020-10-21T21:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=7333&cHash=182c14527a3a70b4ff575a92512f0e17,event-type-1event-kind-7event-kind-8
ViNN:LabOpenLabDay(nurmitAnmeldung),2020-10-21T09:00:00,2020-10-21T16:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10258&cHash=4142e76a92e4183872fd9bce17cb3da3,event-type-1event-type-2event-kind-8
MobileBildungsberatunginKreuzberg,2020-10-21T16:00:00,2020-10-21T18:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10291&cHash=ea9f72f67f37b3006737e3914fe2f34b,event-type-1event-kind-8
BibliothekssprechstundefürMitarbeiter–Medienerwerbungund-bereitstellung,2020-10-21T17:00:00,2020-10-21T18:30:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10330&cHash=5e0bac062a00bae691cbff07d6641ce7,event-type-5event-kind-3event-kind-5event-kind-8
ViNN:Lab“FreeCAD”-Workshop@home,2020-10-21T16:30:00,2020-10-21T17:30:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10192&cHash=473d15898c75041098fad10d52dd71fb,event-type-1event-type-2event-kind-5event-kind-8
OpenCoworkingimGewerbehof(YES,weareopen),2020-10-21T10:00:00,2020-10-21T16:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10207&cHash=32b2e35cf41ee566916f43bde7a507e4,event-type-2event-type-3event-type-6event-kind-8
Schnupperstudium2020,2020-10-22T07:00:00,2020-10-22T21:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=7333&cHash=182c14527a3a70b4ff575a92512f0e17,event-type-1event-kind-7event-kind-8
OffeneBibliothekssprechstunde(online),2020-10-22T09:00:00,2020-10-22T10:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10342&cHash=5d605e095810305edfd46202b9d039b9,event-type-2event-type-5event-kind-3event-kind-5event-kind-8
Schnupperstudium2020,2020-10-23T07:00:00,2020-10-23T21:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=7333&cHash=182c14527a3a70b4ff575a92512f0e17,event-type-1event-kind-7event-kind-8
Mathe-BeratunginderAGB,2020-10-23T16:00:00,2020-10-23T18:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=10366&cHash=9f9626dcedc71e034f0008e8b03bdd4f,event-type-2event-kind-8
StudienvorbereitungskursMathe"Last-Minute",2020-10-24T09:00:00,2020-10-24T15:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=2280&cHash=3f5bf6b96d580b26f00ef6cc05006e6f,event-type-1event-kind-5
StudienvorbereitungskursMathe"Last-Minute",2020-10-25T09:00:00,2020-10-25T15:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=2280&cHash=3f5bf6b96d580b26f00ef6cc05006e6f,event-type-1event-kind-5
StudienvorbereitungskursMathe"Last-Minute",2020-10-26T09:00:00,2020-10-26T15:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=2280&cHash=3f5bf6b96d580b26f00ef6cc05006e6f,event-type-1event-kind-5
StudienvorbereitungskursMathe"Last-Minute",2020-10-27T09:00:00,2020-10-27T15:00:00,false,/hochschule/aktuelles/veranstaltungen/?tx_news_pi1%5Bnews%5D=2280&cHash=3f5bf6b96d580b26f00ef6cc05006e6f,event-type-1event-kind-5
